experiment,Sample,filename,True text,text4phoneme
-length=30_skip=75,1667,8463-294828-0038,THOUSANDS OF HANDKERCHIEFS WERE WAVING ABOVE THESE TIGHTLY PACKED MASSES HAILING THE ABRAHAM LINCOLN UNTIL IT REACHED THE WATERS OF THE HUDSON RIVER AT THE TIP OF THE LONG PENINSULA THAT FORMS NEW YORK CITY,thousands of handkerchiefs were waving above these tightly packed masses hailing the atrium lincoln until it reached the water of the hudson river at the tip of the long peninsula that forms new york city
-length=30_skip=75,1885,6829-68769-0001,IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LENGTHY TERM IN STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT,it was a serious crime indeed mister watson told them and tom gates failed to serve a lengthy term in the state's prison as a consequence of his rash act
-length=30_skip=75,582,260-123288-0002,THE ATMOSPHERE IS CHARGED WITH VAPOURS PERVADED WITH THE ELECTRICITY GENERATED BY THE EVAPORATION OF SALINE WATERS,the atmosphere is charged with vapors provided with electricity generated by the evaporation of sailing waters
-length=30_skip=75,526,2300-131720-0011,BUT WHEN IT CAME TO BE A QUESTION OF LIGHTING A SCATTERED SUBURB A GROUP OF DWELLINGS ON THE OUTSKIRTS A REMOTE COUNTRY RESIDENCE OR A FARM HOUSE THE ALTERNATING CURRENT IN ALL ELEMENTS SAVE ITS DANGER WAS AND IS IDEAL,but when it came to be a question of fighting a scattered suburb a group of dwellings on the outskirts a remote country residence or a farmhouse the alternating current in all elements save its danger was and is ideal
-length=30_skip=75,1061,4970-29093-0010,HE HAD NO FRIEND WISE ENOUGH TO TELL HIM TO STEP INTO THE DORKING CONVENTION THEN IN SESSION MAKE A SKETCH OF THE MEN AND WOMEN ON THE PLATFORM AND TAKE IT TO THE EDITOR OF THE DAILY GRAPEVINE AND SEE WHAT HE COULD GET A LINE FOR IT,he had no friend wise enough to tell him to send it into the dorking convention in session make a sketch of the men and women of the platform and take it to the editor of the daily grapevine and see if he could get a line for it
-length=30_skip=75,312,5639-40744-0012,SHE SUCCEEDED IN OPENING THE WINDOW AND THE MOONLIGHT SHONE IN SO BRIGHTLY THAT SHE COULD DISTINGUISH THE COLOUR OF SOME DAMASK HANGINGS IN THE ROOM,she succeeded in opening the window and the moon was shown in so brightly that she could distinguish the colour of some damas hanging in the room
-length=30_skip=75,244,2094-142345-0006,AT THE EDGE OF THIS BOX THERE LIES A GREAT WOODEN DOLL WHICH SO FAR AS MUTILATION IS CONCERNED BEARS A STRONG RESEMBLANCE TO THE FINEST GREEK SCULPTURE AND ESPECIALLY IN THE TOTAL LOSS OF ITS NOSE,at the end of this box there lies a great wooden doll which as far as mutilation is concerned bears a strong resemblance to the finest greek sculpture and especially in the total loss of its nose
-length=30_skip=75,404,5683-32866-0009,I DON'T KNOW AND CAN'T SAY HOW YOU FINE GENTLEMEN DEFINE WICKEDNESS ONLY AS AN OBSCURE FEMALE I SPEAK ACCORDING TO MY LIGHTS AND HE IS GENERALLY THOUGHT THE WICKEDEST MAN IN THIS COUNTY,i don't know and can't say how you find a gentleman to find weirdness only as an obscure female i speak according to my lights and he is generally thought the weakest man in this county
-length=30_skip=75,833,7127-75947-0027,TO SAY NOTHING SAID MONTALAIS SO THAT WHEN MADEMOISELLE DE TONNAY CHARENTE THINKS ATHENAIS IS THE ONLY ONE WHO KNOWS IT,to say nothing said monte so that when monsieur de tony sherlock thinks monte is the only one who knows it
-length=30_skip=75,1864,6829-68769-0049,HE DETESTED THE GRASPING DISPOSITION THAT WOULD ENDEAVOR TO TAKE ADVANTAGE OF HIS EVIDENT DESIRE TO HELP YOUNG GATES,he detested a grasping disposition that would endeavour to take advantage of his evident desire to help young gates
-length=30_skip=75,2061,7021-85628-0011,THE PRINCESS SAT DOWN UNDER A BLUE CANOPY WITH BOUQUETS OF ROSES AND SHE LET ANDERS SIT IN A GOLDEN CHAIR BY HER SIDE,the princess sat down under the blue canopy with bouquets of roses and she let anders sit in a golden chair by her side
-length=30_skip=75,2068,4077-13754-0013,BEFORE THIS TRAVESTY ON THE ADMINISTRATION OF LAW COULD BE BROUGHT BEFORE THE COURT OF LAST RESORT AND THERE MEET WITH THE REVERSAL AND REBUKE IT DESERVED MEN WERE IMPRISONED UNDER SENTENCES OF MANY YEARS DURATION,the former travesty on the administration of law could be brought before the court of last resort and there met with the universal and rebuke they deserved men were imprisoned under sentence of many years duration
-length=30_skip=75,19,7176-88083-0007,BUT SUCH WAS HIS KEENNESS THAT EVEN WHILE THE WIDE FLUKES OF HIS ENGORGED VICTIM WERE STILL STICKING OUT AT THE CORNERS OF HIS BEAK HIS FIERCE RED EYES WERE ONCE MORE PEERING DOWNWARD INTO THE TORRENT IN SEARCH OF FRESH PREY,but such was his keenness that even while the wide flukes of his gorged victim were still sticking out at the point of his beak his fierce red eyes were once more peering downward into the torrent in search of fresh prey
-length=30_skip=75,1797,8230-279154-0033,IT IS BY NO MEANS ALWAYS RELIABLE ALMOST EVERYBODY HAS AT SOME TIME EXPERIENCED THE WELL KNOWN ILLUSION THAT ALL THAT IS HAPPENING NOW HAPPENED BEFORE AT SOME TIME,it is by no means always reliable almost everybody has at some time experienced a well known illusion that all that is happening now happened before at some time
-length=30_skip=75,80,5105-28240-0005,HE RECKONED THEREFORE NOT ONLY UPON ASCERTAINING THE EXTENT OF THE LATE CATASTROPHE BUT UPON LEARNING ITS CAUSE,he reckoned therefore not only upon ascertaining the extent of the little catastrophe but upon knowing its cause
-length=30_skip=75,180,2830-3980-0054,THAT CHRIST IS VERY GOD IS APPARENT IN THAT PAUL ASCRIBES TO HIM DIVINE POWERS EQUALLY WITH THE FATHER AS FOR INSTANCE THE POWER TO DISPENSE GRACE AND PEACE,that christ's very god is apparent that paul ascribes to him divine power equally with the father as for instance the power to dispense grace and peace
-length=30_skip=75,1816,8230-279154-0027,A GRAMOPHONE BY THE HELP OF SUITABLE RECORDS MIGHT RELATE TO US THE INCIDENTS OF ITS PAST AND PEOPLE ARE NOT SO DIFFERENT FROM GRAMOPHONES AS THEY LIKE TO BELIEVE,a gramophone by the help of suitable records might relate to us the incidents of this past and people are not so different from gramophones as they like to believe
-length=30_skip=75,494,2961-960-0014,THE IDEAS ALSO REMAIN BUT THEY HAVE BECOME TYPES IN NATURE FORMS OF MEN ANIMALS BIRDS FISHES,the ideas also remain but they have become types in nature forms of men animals birds fishes
-length=30_skip=75,1119,4992-41797-0008,MISTER POPHAM EXAGGERATED NOTHING BUT ON THE CONTRARY LEFT MUCH UNSAID IN HIS NARRATIVE OF THE FAMILY AT THE HOUSE OF LORDS,mister pope exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords
-length=30_skip=75,1962,1089-134686-0006,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,the dull light fell more faintly upon the page wherein another equation began to unfold itself slowly and to spread abroad its widening tail
-length=30_skip=75,2401,908-157963-0021,LIVES NOT ALONE NOR OR ITSELF FEAR NOT AND I WILL CALL THE WEAK WORM FROM ITS LOWLY BED AND THOU SHALT HEAR ITS VOICE,lives not alone nor of itself fear not and i will call the weak worm from its lovely bed and thou shall hear its voice
-length=30_skip=75,1697,8463-294828-0007,CLASSIFYING WAS EVERYTHING TO HIM SO HE KNEW NOTHING ELSE WELL VERSED IN THE THEORY OF CLASSIFICATION HE WAS POORLY VERSED IN ITS PRACTICAL APPLICATION AND I DOUBT THAT HE COULD TELL A SPERM WHALE FROM A BALEEN WHALE,classification was everything to him so he knew nothing else well versed in the theory of classification he was poorly versed in his practical application and i doubted he could tell a sperm whale from a whale
-length=30_skip=75,2410,908-31957-0022,THEN I LONG TRIED BY NATURAL ILLS RECEIVED THE COMFORT FAST WHILE BUDDING AT THY SIGHT MY PILGRIM'S STAFF GAVE OUT GREEN LEAVES WITH MORNING DEWS IMPEARLED,then our long tried by natural souls received the comfort from us while budding at the eyesight of the pilgrim's staff gave out great leaves for the morning dews
-length=30_skip=75,603,260-123288-0024,THE FIREBALL HALF OF IT WHITE HALF AZURE BLUE AND THE SIZE OF A TEN INCH SHELL MOVED SLOWLY ABOUT THE RAFT BUT REVOLVING ON ITS OWN AXIS WITH ASTONISHING VELOCITY AS IF WHIPPED ROUND BY THE FORCE OF THE WHIRLWIND,the fireball half of it white half azure blue and the size of a ten inch shell moved slowly about the raft but revolving on its own axis with astonishing velocity as if whipped down by the force of the whirlwind
-length=30_skip=75,1002,7729-102255-0015,ONE OF HIS MILITIA GENERALS SUGGESTED THAT THE GOVERNOR SHOULD REQUIRE THE OUTLAWS AT LAWRENCE AND ELSEWHERE TO SURRENDER THE SHARPS RIFLES ANOTHER WROTE ASKING HIM TO CALL OUT THE GOVERNMENT TROOPS AT FORT LEAVENWORTH,one of his militia generals suggested that the governor would require the outlaws at florence and elsewhere to surrender the sharp's rifles the other wrote asking him to call out the government troops at fort leavenworth
-length=30_skip=75,378,5683-32879-0011,SHE SPOKE WITH A SUDDEN ENERGY WHICH PARTOOK OF FEAR AND PASSION AND FLUSHED HER THIN CHEEK AND MADE HER LANGUID EYES FLASH,she spoke with a sudden energy which partook of fear and passion and flushed her thin cheek and made her angry eyes flash
-length=30_skip=75,2162,4507-16021-0010,WE HAVE ALWAYS THOUGHT THAT IT WAS SOMETIMES A COURAGEOUS ACT AND AT LEAST A SIMPLE AND USEFUL DEED WORTHY OF THE SYMPATHETIC ATTENTION WHICH DUTY ACCEPTED AND FULFILLED MERITS,we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits
-length=20_skip=50,69,7176-92135-0018,IN THE MODERN WELL CONSTRUCTED PLAY HE SIMPLY RINGS UP AN IMAGINARY CONFEDERATE AND TELLS HIM WHAT HE IS GOING TO DO COULD ANYTHING BE MORE NATURAL,in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural
-length=20_skip=50,504,2961-960-0007,BUT THEY HAVE NOTHING TO DO WITH THE INTERPRETATION OF PLATO AND IN SPIRIT THEY ARE OPPOSED TO HIM,they have nothing to do with the interpretation of plato and in the spirit they are opposed to him
-length=20_skip=50,1425,1221-135766-0010,IT WAS A LOOK SO INTELLIGENT YET INEXPLICABLE PERVERSE SOMETIMES SO MALICIOUS BUT GENERALLY ACCOMPANIED BY A WILD FLOW OF SPIRITS THAT HESTER COULD NOT HELP QUESTIONING AT SUCH MOMENTS WHETHER PEARL WAS A HUMAN CHILD,it was a look so intelligent yet inexplicable perverse sometimes so malicious but generally accompanied by a wild flow of spirits that hester could not help questioning at such moments whether pearl was a human child
-length=20_skip=50,909,1320-122617-0040,HE HAD NO OCCASION TO DELAY FOR AT THE NEXT INSTANT A BURST OF CRIES FILLED THE OUTER AIR AND RAN ALONG THE WHOLE EXTENT OF THE VILLAGE,he had no occasion to delay but at the next instant a burst of cries filled the outer air and ran along the whole extent of the village
-length=20_skip=50,2265,672-122797-0013,I AM NOW TALL AND MY BRANCHES SPREAD LIKE THE OTHERS THAT WERE CARRIED OFF LAST YEAR OH,i am now tall and my branches spread like the others that were carried off last year oh
-length=20_skip=50,1809,8230-279154-0026,THIS DISTINCTION IS VITAL TO THE UNDERSTANDING OF MEMORY BUT IT IS NOT SO EASY TO CARRY OUT IN PRACTICE AS IT IS TO DRAW IN THEORY,this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory
-length=20_skip=50,915,1320-122617-0024,BUT HAWKEYE WHO WAS TOO MUCH OCCUPIED WITH HIS OWN THOUGHTS TO NOTE THE MOVEMENT CONTINUED SPEAKING MORE TO HIMSELF THAN TO HIS COMPANION,but hagai who was too much occupied with his own thoughts to note the movement continued speaking more to himself than to his companion
-length=20_skip=50,208,2830-3980-0031,WHY DO THEY NOT INVADE THE CATHOLIC PROVINCES AND PREACH THEIR DOCTRINE TO GODLESS PRINCES BISHOPS AND DOCTORS AS WE HAVE DONE BY THE HELP OF GOD,why did they not invade the catholic provinces and preach their doctrine to godless princes bishops and doctors as we have done by the help of god
-length=20_skip=50,1845,3729-6852-0000,TO CELEBRATE THE ARRIVAL OF HER SON SILVIA GAVE A SPLENDID SUPPER TO WHICH SHE HAD INVITED ALL HER RELATIVES AND IT WAS A GOOD OPPORTUNITY FOR ME TO MAKE THEIR ACQUAINTANCE,to celebrate the arrival of her son sylvia gave a splendid supper to which she had invited all her relatives and it was a good opportunity for me to make their acquaintance
-length=20_skip=50,2423,908-157963-0015,O LITTLE CLOUD THE VIRGIN SAID I CHARGE THEE TO TELL ME WHY THOU COMPLAINEST NOW WHEN IN ONE HOUR THOU FADE AWAY THEN WE SHALL SEEK THEE BUT NOT FIND AH THEL IS LIKE TO THEE,o little cloud the virgin said i charge thee to tell me why thou complaint is thou when in one hour thou fade away then we shall seek thee do not find ah thou is like thee
-length=20_skip=50,847,7127-75947-0028,QUICK QUICK THEN AMONG THE HIGH REED GRASS SAID MONTALAIS STOOP ATHENAIS YOU ARE SO TALL,quick quick then among the high reed grass said monte stoop as you are so tall
-length=20_skip=50,2035,7021-85628-0008,FOR LIKE AS NOT THEY MUST HAVE THOUGHT HIM A PRINCE WHEN THEY SAW HIS FINE CAP,for like it not they must have thought him a prince when they saw his fine cap
-length=20_skip=50,1083,4970-29095-0038,RUTH WAS GLAD TO HEAR THAT PHILIP HAD MADE A PUSH INTO THE WORLD AND SHE WAS SURE THAT HIS TALENT AND COURAGE WOULD MAKE A WAY FOR HIM,ruth was glad to hear that philip had made a push into the world and she was sure that his talent and courage would make a way for him
-length=20_skip=50,1784,8230-279154-0014,I COME NOW TO THE OTHER CHARACTERISTIC WHICH MEMORY IMAGES MUST HAVE IN ORDER TO ACCOUNT FOR OUR KNOWLEDGE OF THE PAST,i come now to the other characteristics which memory images must have in order to account for our knowledge of the past
-length=20_skip=50,1529,1284-1181-0014,HE SELECTED A SMALL GOLD BOTTLE WITH A PEPPER BOX TOP SO THAT THE POWDER MIGHT BE SPRINKLED ON ANY OBJECT THROUGH THE SMALL HOLES,he selected a small gold bottle with a power box top so that the powder could be sprinkled on any object through the small holes
-length=20_skip=50,500,2961-960-0006,THE FANCIES OF THE NEO PLATONISTS ARE ONLY INTERESTING TO US BECAUSE THEY EXHIBIT A PHASE OF THE HUMAN MIND WHICH PREVAILED WIDELY IN THE FIRST CENTURIES OF THE CHRISTIAN ERA AND IS NOT WHOLLY EXTINCT IN OUR OWN DAY,the fancies of neo platonists are only interesting to us because they exhibit a phase of the human mind which prevailed widely in the first centuries of the christian era and is not wholly extinct in our own day
-length=20_skip=50,1861,6829-68771-0012,THIS WAS THE FIRST OCCASION WITHIN A GENERATION WHEN SUCH AN ENTERTAINMENT HAD BEEN GIVEN AT ELMHURST AND THE ONLY ONE WITHIN THE MEMORY OF MAN WHERE THE NEIGHBORS AND COUNTRY PEOPLE HAD BEEN INVITED GUESTS,this was the first occasion within a generation when such an entertainment had been given at elmhurst and then only within the memory of man where the neighbors and country people had been the invited guests
-length=20_skip=50,5,7176-92135-0038,A STAGE MEAL IS POPULAR BECAUSE IT PROVES TO THE AUDIENCE THAT THE ACTORS EVEN WHEN CALLED CHARLES HAWTREY OR OWEN NARES ARE REAL PEOPLE JUST LIKE YOU AND ME,a stage meal is popular because it proves to the audience that the actors even one called charles haltrey or owen nayers are real people just like you and me
-length=20_skip=50,610,260-123286-0027,I CAN DISTINGUISH THE EYE OF THE ICHTHYOSAURUS GLOWING LIKE A RED HOT COAL AND AS LARGE AS A MAN'S HEAD,i can distinguish the eye of the ichthyosaurus glowing like a red hot coal and as large as a man's head
-length=20_skip=50,317,5639-40744-0016,ON THE CONTRARY HE RESOLVED TO TELL THEM THAT REPENTING OF HIS VIOLENCE AND MOVED BY HER TEARS HE HAD ONLY CARRIED HER HALF WAY TOWARDS HIS HOUSE AND THEN LET HER GO,on the contrary he resolved to tell them that repenting of his violence and moved by a tear he had only carried her half way toward the house and then let her go
-length=20_skip=50,304,5639-40744-0022,TIME ROLLED ON THE HOUR OF HER DELIVERY ARRIVED IT TOOK PLACE IN THE UTMOST SECRECY HER MOTHER TAKING UPON HER THE OFFICE OF MIDWIFE AND SHE GAVE BIRTH TO A SON ONE OF THE MOST BEAUTIFUL EVER SEEN,time rolled on the hour of her delivery arrived and took place in the utmost secrecy her mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen
-length=20_skip=50,2096,8555-284447-0019,BEFORE ANY COULD STOP HIM HE BUTTED HIS MAJESTY SO FURIOUSLY THAT THE KING SOARED FAR INTO THE AIR AND TUMBLED IN A HEAP AMONG THE BENCHES WHERE HE LAY MOANING AND GROANING,before any could stop him he butted his majesty so furiously that the king saw him far into the air and tumbled in a heap among the beaches where he lay moaning and groaning
-length=20_skip=50,275,1188-133604-0037,EVERY LINE IN WHICH THE MASTER TRACES IT EVEN WHERE SEEMINGLY NEGLIGENT IS LOVELY AND SET DOWN WITH A MEDITATIVE CALMNESS WHICH MAKES THESE TWO ETCHINGS CAPABLE OF BEING PLACED BESIDE THE MOST TRANQUIL WORK OF HOLBEIN OR DUERER,every line in which the master traces it even where seemingly negligent is lovely and set down with a meditative calmness which makes these two etchings capable of being placed beside the most tranquil work
-length=20_skip=50,1667,8463-294828-0038,THOUSANDS OF HANDKERCHIEFS WERE WAVING ABOVE THESE TIGHTLY PACKED MASSES HAILING THE ABRAHAM LINCOLN UNTIL IT REACHED THE WATERS OF THE HUDSON RIVER AT THE TIP OF THE LONG PENINSULA THAT FORMS NEW YORK CITY,thousands of handkerchiefs were waving above these tightly packed masses hailing the abraham lincoln until it reached the waters of the hudson river at the tip of the long peninsula that formed new york city
-length=20_skip=50,1885,6829-68769-0001,IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LENGTHY TERM IN STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT,it was a serious crime deed mister watson told him and tom gates bade fair to serve a lengthy term in the state's prison as a consequence of his rash act
-length=20_skip=50,582,260-123288-0002,THE ATMOSPHERE IS CHARGED WITH VAPOURS PERVADED WITH THE ELECTRICITY GENERATED BY THE EVAPORATION OF SALINE WATERS,the atmosphere is charged with vapors pervaded with electricity generated by the evaporation of sailing waters
-length=20_skip=50,526,2300-131720-0011,BUT WHEN IT CAME TO BE A QUESTION OF LIGHTING A SCATTERED SUBURB A GROUP OF DWELLINGS ON THE OUTSKIRTS A REMOTE COUNTRY RESIDENCE OR A FARM HOUSE THE ALTERNATING CURRENT IN ALL ELEMENTS SAVE ITS DANGER WAS AND IS IDEAL,but when it came to be a question of lighting a scattered suburb a group of dwellings on the outskirts a remote country residence or a farmhouse the alternating current in all elements of its danger was and is ideal
-length=20_skip=50,1061,4970-29093-0010,HE HAD NO FRIEND WISE ENOUGH TO TELL HIM TO STEP INTO THE DORKING CONVENTION THEN IN SESSION MAKE A SKETCH OF THE MEN AND WOMEN ON THE PLATFORM AND TAKE IT TO THE EDITOR OF THE DAILY GRAPEVINE AND SEE WHAT HE COULD GET A LINE FOR IT,i had no friend wise enough to tell him to step into the dorking convention then in session make a sketch of the men and women of the platform and take it to the editor of the daily grapevine and see if he could get a line for it
-length=20_skip=50,312,5639-40744-0012,SHE SUCCEEDED IN OPENING THE WINDOW AND THE MOONLIGHT SHONE IN SO BRIGHTLY THAT SHE COULD DISTINGUISH THE COLOUR OF SOME DAMASK HANGINGS IN THE ROOM,she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the colour of some damask hanging in the room
-length=20_skip=50,244,2094-142345-0006,AT THE EDGE OF THIS BOX THERE LIES A GREAT WOODEN DOLL WHICH SO FAR AS MUTILATION IS CONCERNED BEARS A STRONG RESEMBLANCE TO THE FINEST GREEK SCULPTURE AND ESPECIALLY IN THE TOTAL LOSS OF ITS NOSE,at the edge of this box there lies a great wooden doll which so far as mutilation is concerned there is a strong resemblance to the finest greek sculpture and especially the total loss of its nose
