sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_317|6.0606|2|33|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that repenting of his violence and moved by his fears he had only carried her half way towards his house and then let her go|3.5924|3.8416|4.033|4.3013|3.3326|3.5631|4.0894|4.0157|4.1358|4.1488|4.3242|4.3603|4.5219|4.5408|3.502|3.5092|3.7142|3.732|4.1881|4.1959|4.1134|4.2512|4.1604|4.1923|4.3433|4.3926|4.5362|4.5617|3.5156|3.5332|3.7236|3.7477|4.194|4.2045|4.1073|4.2078|4.439|4.446|3.852|3.871|0.833|0.855|1.889|1.733|0.0|0.0|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|0|0|33|33|4.368|4.354|0.959|1.008|0.95|0.949|2.867|2.911
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_2162|3.3333|1|30|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted in fulfilled merits|3.2912|3.1389|3.383|3.8359|2.8797|3.1726|3.8385|3.7139|3.2119|3.2201|3.8311|3.7623|3.3652|3.4142|2.9302|2.9362|3.4496|3.4097|3.5262|3.5624|3.9863|4.0332|3.3588|3.2871|4.0212|3.7588|3.3751|3.5401|3.0287|2.9813|3.556|3.4072|3.5333|3.649|4.018|4.0488|4.137|4.127|4.139|4.217|0.846|0.873|2.177|1.961|3.333|3.333|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted in fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted in fulfilled merits|1|1|30|30|4.073|4.072|0.942|0.993|0.941|0.941|3.236|3.219
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_80|0.0|0|18|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|3.0611|3.5493|3.9738|3.9047|3.1526|3.5305|3.8789|3.4101|3.688|3.5497|4.2368|4.1231|3.7089|3.5356|3.2391|3.1529|3.6703|3.6112|3.7581|3.6472|3.8862|3.9893|3.6144|3.3929|4.2136|4.0909|3.6013|3.3037|3.1937|3.0514|3.6584|3.5942|3.6906|3.4819|3.8843|3.9273|2.962|3.444|3.902|3.928|0.802|0.855|1.987|1.828|0.0|0.0|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|0|0|18|18|3.082|3.451|0.797|0.885|0.94|0.945|3.078|3.051
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_1962|0.0|0|24|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|2.9779|3.805|4.0159|4.3383|3.3107|3.5538|4.1068|3.7908|4.1525|4.1015|4.3587|4.2922|4.518|4.5138|3.5113|3.4828|3.7312|3.6983|4.1864|4.1847|4.0229|4.1674|4.1553|4.0573|4.3653|4.2493|4.5117|4.5014|3.5128|3.458|3.7344|3.6767|4.1838|4.1794|4.098|4.0951|4.094|4.381|3.993|4.007|0.742|0.763|1.74|1.479|0.0|0.0|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|0|0|24|24|4.027|4.329|0.912|0.984|0.94|0.94|2.855|2.926
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_69|3.7037|1|27|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings an imaginary confederate and tells him what he is going to do could anything be more natural|3.1872|3.4142|3.8106|3.7788|3.0655|3.4379|3.8013|3.8647|3.4206|3.1879|4.0198|3.8901|3.4941|3.2292|3.0694|2.9141|3.5558|3.4836|3.615|3.4253|4.1419|3.9569|3.2381|3.231|3.9533|3.9171|3.2286|3.2869|2.948|2.9429|3.5191|3.4989|3.4213|3.4663|4.1492|3.944|3.716|3.689|4.192|4.179|0.777|0.791|1.656|1.441|0.0|0.0|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|0|0|27|27|3.657|3.745|1.003|1.088|0.933|0.925|2.463|2.478
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_1861|11.1111|4|36|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man where the neighbors and country people had been invited guests|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and only when within the memory of the man where the neighbors and country people had been the invited guests|3.0197|3.2067|3.6603|3.504|2.9269|3.3479|3.6251|3.8073|3.3123|3.3744|3.7742|3.8339|3.5504|3.6179|2.9961|3.0393|3.4146|3.451|3.6547|3.7021|3.9867|4.1413|3.2142|3.2076|3.6819|3.6736|3.4942|3.5653|2.9295|2.925|3.3604|3.3546|3.6086|3.6609|3.9674|4.1691|3.597|3.56|4.42|4.403|0.828|0.869|1.894|1.767|8.333|13.889|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of the man where the neighbors and qutu people had been the invited guests|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of the man where the neighbors and q u tu people had been the invited guests|3|5|36|36|3.574|3.554|0.889|0.959|0.943|0.943|2.74|2.66
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_1816|0.0|0|30|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|3.083|3.7141|3.8559|4.3897|3.2556|3.4641|4.1304|3.7334|3.8302|4.0841|4.1544|4.2502|4.1371|4.5109|3.3258|3.4731|3.6278|3.6771|4.0075|4.1834|3.9348|4.0987|3.8928|4.1109|4.1655|4.2584|4.262|4.5308|3.3628|3.4881|3.6335|3.6813|4.0702|4.1918|4.0515|4.1637|4.148|4.204|3.93|3.936|0.762|0.785|1.734|1.522|0.0|0.0|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|0|0|30|30|4.104|4.198|1.075|1.138|0.935|0.936|2.71|2.744
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_1809|0.0|0|27|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|3.0038|3.6412|3.7984|4.343|3.2105|3.4309|4.109|3.6844|4.0311|3.9508|4.2517|4.1422|4.4094|4.4479|3.443|3.3969|3.6779|3.6214|4.1394|4.1564|4.1389|4.1049|3.8363|3.8783|4.1233|4.115|4.2307|4.3793|3.3295|3.3544|3.6114|3.6071|4.0551|4.1257|3.9002|3.912|4.254|4.405|3.64|3.667|0.777|0.82|1.834|1.683|0.0|0.0|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|0|0|27|27|4.154|4.275|0.937|1.019|0.939|0.935|2.988|2.868
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_304|5.1282|2|39|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived it took place in the most secrecy her mother taking upon her the awe of midwife and she gave birth to a son one of the most beautiful ever seen|3.5473|3.9849|4.1261|4.5479|3.4163|3.6127|4.1987|3.6053|3.9632|4.0695|4.3296|4.2998|4.1327|4.4523|3.4036|3.4647|3.7169|3.702|4.0003|4.1573|4.04|4.0471|3.9579|4.0684|4.2361|4.262|4.2921|4.5051|3.4009|3.4641|3.6699|3.683|4.0832|4.1807|3.9954|4.0063|4.572|4.542|4.067|4.135|0.765|0.789|1.691|1.57|2.564|5.128|time rolled on the hour of her delivery arrived it took place in the utmost secrecy from mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived it took place in the utmost secrecy from mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen|1|2|39|39|4.45|4.44|1.151|1.178|0.932|0.933|2.766|2.714
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_1529|0.0|0|25|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|3.735|2.9592|3.7498|2.9429|2.7536|3.4024|3.1963|3.7291|3.7544|3.5741|4.1239|3.9872|3.9425|3.7822|3.2798|3.1681|3.6115|3.5378|3.9008|3.8059|4.0976|4.1476|3.4575|3.5308|4.0287|3.9464|3.4447|3.726|3.0932|3.1408|3.5602|3.5153|3.5839|3.7712|4.1318|4.1812|4.633|4.461|4.147|4.181|0.813|0.831|2.033|1.813|0.0|0.0|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|0|0|25|25|4.585|4.406|0.868|0.918|0.95|0.948|2.791|2.814
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_582|5.8824|1|17|the atmosphere is charged with vapors pervaded with the electricity generated by the evaporation of saline waters|the atmosphere is charged with vapors pervaded by the electricity generated by the evaporation of saline waters|3.3364|3.3858|3.5949|4.1628|3.0468|3.3085|4.0207|3.667|3.8878|3.5517|4.1506|3.8545|4.4003|4.105|3.3596|3.154|3.6255|3.4632|4.1346|3.9902|3.9919|4.1339|3.9449|3.5439|4.1935|3.828|4.4296|4.1619|3.3931|3.1491|3.6479|3.4479|4.148|4.0201|4.0956|4.149|4.143|4.19|4.176|4.232|0.805|0.837|1.713|1.555|0.0|0.0|the atmosphere is charged with vapors pervaded with the electricity generated by the evaporation of saline waters|the atmosphere is charged with vapors pervaded with the electricity generated by the evaporation of saline waters|0|0|17|17|4.19|4.162|0.931|0.98|0.956|0.954|2.593|2.59
